idiom,sentence
go for the jugular," Output: i

The expression ""go for the jugular"" is being used figuratively in the sentence. It means to attack or criticize someone fiercely and relentlessly, rather than literally going for the jugular vein in a physical sense."
go for the jugular," output: i

The expression ""go for the jugular"" is being used figuratively in the sentence you provided. It means to attack or confront someone directly and fiercely, rather than literally going for their jugular vein."
go for the jugular," i

The expression ""go for the jugular"" is being used figuratively in the sentence. It means to attack or criticize someone directly and fiercely, rather than using a more subtle or indirect approach. The phrase is not being used to describe a physical attack on someone's jugular vein, but rather as a metaphor for a strong and decisive action."
nip and tuck," Output: i

The expression ""nip and tuck"" is being used figuratively in the sentence. It is a common idiom that means to make small adjustments or improvements, usually to a person's appearance. In this context, it suggests that the staff will be making minor adjustments to the 90% of the store's products that are not fast-changing, using the RMUs as needed."
nip and tuck," Output: i

The expression ""nip and tuck"" is being used figuratively in the sentence to describe a close competition or a tight situation. It does not refer to a literal instance of nipping or tucking, but rather to the idea of two sides being evenly matched and competing fiercely."
nip and tuck," Output: i

The expression ""nip and tuck"" is being used figuratively in the sentence to describe the waves as being altered or changed, rather than being used literally to refer to a surgical procedure. The phrase ""nipped and tucked"" is often used to describe something that has been modified or improved, rather than its literal meaning of being physically altered by surgery."
throw the baby out with the bathwater," Output: i

The expression ""throw the baby out with the bathwater"" is being used figuratively in the sentence. It means to discard something good or valuable along with something undesirable, rather than keeping the good thing and getting rid of the bad thing separately. In this context, the critics are accused of misinterpreting or misunderstanding the work of the Chicago School sociologists, and the phrase suggests that they are rejecting the entirety of the sociologists' ideas without properly understanding or distinguishing between the good and bad aspects."
throw the baby out with the bathwater," Output: i

The expression ""throw the baby out with the bathwater"" is being used figuratively in the sentence. It means to avoid rejecting something good or valuable along with something bad or undesirable. In this context, the speaker is suggesting that the Western model has limitations, but that doesn't mean that all Western expertise should be rejected."
out of order," Output: i

The expression ""out of order"" is being used figuratively in the sentence ""is well out of order."" It suggests that something is not functioning properly or is in a state of disarray, rather than referring to a physical object being out of its proper place."
out of order," Output: i

The expression ""out of order"" is being used figuratively in the sentence. It is not referring to a literal state of disarray or chaos, but rather it is being used to convey that the quote, in the context it was given, seemed inappropriate or misplaced. Therefore, the use of ""out of order"" is not meant to be taken literally, but rather as a figurative expression to describe the speaker's perception of the quote."
out of order," Output: i

The expression ""out of order"" is being used figuratively in the sentence ""That question was not out of order."" It suggests that the question was not inappropriate or incorrect, but rather, it was not asked in the expected or conventional manner."
muddy the waters," Output: i

The expression ""muddy the waters"" is being used figuratively in the sentence you provided. It means to make a situation more complicated or unclear, rather than literally referring to stirring up physical water."
muddy the waters," Output: i

The expression ""muddy the waters"" is being used figuratively in the sentence. It means to make a situation more confusing or unclear, like stirring up mud in a body of water."
muddy the waters," Output: i

The expression ""muddy the waters"" is being used figuratively in the sentence. It means to make a situation more complicated or unclear, like muddying a body of water makes it difficult to see what's beneath the surface."
move the goalposts," Output: i

The expression ""move the goalposts"" is being used figuratively in the sentence. It means to change the rules or criteria of a situation in an unfair or unjust way, without actually moving physical goalposts."
move the goalposts," Output: i

The expression ""move the goalposts"" is being used figuratively in the sentence ""Moving the goalposts."" It is a common idiom that means to change the rules or criteria for success in the middle of a process or game, making it unfair or difficult for someone to achieve their goals. The phrase is not being used literally to describe physically moving the goalposts in a sports game."
move the goalposts," Output: i

The expression ""move the goalposts"" is being used figuratively in the sentence you provided. The phrase is idiomatic and means to change the rules or criteria in the middle of a process, making it unfair or difficult for others to adapt. It is not meant to be taken literally, as the goalposts are not actually being moved."
hair of the dog," Output: i

The expression ""hair of the dog"" is being used figuratively in the sentence. It is a common idiom that refers to drinking alcohol in the morning to alleviate the symptoms of a hangover, which is not a literal meaning of the phrase."
hair of the dog," Output: i

The expression ""hair of the dog"" is being used figuratively in the sentence. It is a common idiom that refers to drinking alcohol to alleviate the symptoms of a hangover, which is not a literal interpretation of the phrase."
hair of the dog," output: i

The expression ""hair of the dog"" is being used figuratively in the sentence you provided. The phrase is derived from an ancient belief that a poultice made from the hair, milk, and bread of the dog that inflicted a bite could cure the infection. However, the phrase is not being used literally in this sentence, as it is not referring to an actual dog bite or poultice. Instead, it is being used as a metaphor to describe a supposed cure or remedy for a hangover, which is not a real medical condition. Therefore, the answer is ""i"" for figurative."
have someone's number," Output: i

The expression ""have someone's number"" is being used figuratively in the sentence ""Because he had your number."" It is not meant to be taken literally, but rather as a way of saying that the person has the other person's contact information or personal details."
neither here nor there," Output: i

The expression ""neither here nor there"" is being used figuratively in the sentence. It is not referring to a physical location, but rather to the idea that something is not relevant or important in a particular context."
neither here nor there," Output: i

The expression ""neither here nor there"" is being used figuratively in the sentence you provided. It is not referring to a physical location, but rather suggesting that the topic being discussed is not relevant or important."
neither here nor there," i

The expression ""neither here nor there"" is being used figuratively in the sentence you provided. It is a common idiom that means ""irrelevant"" or ""of no consequence."" The speaker is suggesting that the fact that the person fantasizes about a woman rather than a man is not important or relevant to the current situation. Therefore, the output would be ""i"" for figurative."
out of the woods," i

The expression ""out of the woods"" is being used figuratively in the sentence ""Manager Harry McNally said : ‘ We are not out of the wood but we have been thrown a lifeline .'"". The phrase is used to describe a situation where someone is not yet safe or free from danger, and it is not meant to be taken literally. Therefore, the answer is ""i"" for figurative."
out of the woods," Output: i

The expression ""out of the woods"" is being used figuratively in the sentence. It means that the person or situation is not yet free from danger or difficulty, even though they have made some progress. The phrase is often used to indicate that there are still challenges ahead, and that caution is still necessary."
out of the woods," i

The expression ""out of the woods"" is being used figuratively in the sentence you provided. It means that the company is not yet free from difficulties or challenges, and it is still in a precarious situation. The phrase is often used to describe a situation where someone or something is still in a dangerous or uncertain position, and it is not yet clear whether they will be able to overcome the challenges they face. In this case, the sentence suggests that despite some positive signs, the company is still facing some challenges and is not yet out of danger."
sit on the fence," Output: i

The expression ""sit on the fence"" is being used figuratively in the sentence. It means to be indecisive or neutral in a situation, rather than physically sitting on a fence."
sit on the fence," Output: i

The expression ""sit on the fence"" is being used figuratively in the sentence you provided. It means to remain neutral or undecided, not taking sides in a controversial issue. The phrase is not being used literally, as it does not describe a physical action of sitting on a fence."
sit on the fence," Output: i

The expression ""sit on the fence"" is being used figuratively in the sentence you provided. The phrase is often used to describe someone who is avoiding taking a clear stance or position on an issue, rather than its literal meaning of sitting on a physical fence."
keep the peace," Output: i

The expression ""keep the peace"" is being used figuratively in the sentence. It means to maintain harmony and avoid conflict, rather than referring to a literal act of keeping peace."
keep the peace," Output: i

The expression ""keep the peace"" is being used figuratively in the sentence you provided. It means to maintain peace and avoid conflict, rather than literally keeping a peaceful state. The sentence suggests that the two countries have continued to work together to maintain peace, with the presence of young American Airforce men stationed in the country serving as a reminder of their commitment to peaceful coexistence."
six feet under," Output: i

The expression ""six feet under"" is being used figuratively in the sentence to mean ""dead and buried."" It is not being used literally to refer to a physical location or depth."
six feet under," i

The expression ""six feet under"" is being used figuratively in the sentence. It is a common idiom that means ""dead and buried"" or ""completely defeated or failed."" The speaker is saying that no one was going to cause them to fail or be defeated, not that they were going to be literally buried six feet underground."
six feet under," i

The expression ""six feet under"" is being used figuratively in the sentence you provided. It is a common idiom that means ""dead and buried"" or ""completely defeated or failed."" Therefore, the answer is ""i"" for figurative."
dead and buried," Output: i

The expression ""dead and buried"" is being used figuratively in the sentence to describe a situation that seems hopeless or irreparable. It does not refer to a literal state of death or burial, but rather a metaphorical one, indicating that Oxford's chances of winning the game seemed extremely low until the penalty was awarded."
dead and buried," Output: i

The expression ""dead and buried"" is being used figuratively in the sentence. It is a common idiomatic expression used to describe a situation that is completely finished or irreparable. In this context, it suggests that if Taylor had not taken the scoring chances before the break, Middlesbrough's chances of winning the game would have been completely eliminated."
dead and buried," output: i

The expression ""dead and buried"" is being used figuratively in the sentence to describe the state of the charities and Thomas Towers' benefaction. It means that they are no longer in existence or effective, rather than literally being dead and buried."
down in the dumps," Output: i

The expression ""down in the dumps"" is being used figuratively in the sentence. It is an idiomatic expression that means feeling sad or depressed, and is not meant to be taken literally."
down in the dumps," Output: i

The expression ""down in the dumps"" is being used figuratively in the sentence. It is an idiomatic expression that means feeling sad or depressed, and it is not meant to be taken literally. The sentence suggests that the young people are going on a trip to a poor region, and the phrase is used to describe their emotional state, not their physical location."
down in the dumps," Output: i

The expression ""down in the dumps"" is being used figuratively in the sentence. It is an idiomatic expression that means feeling sad or depressed, and is not meant to be taken literally."
know the score," i

The expression ""know the score"" is being used figuratively in the sentence. It is not referring to actually knowing the score of a game or competition, but rather it is a idiomatic expression that means to be aware of the situation or have a good understanding of what's going on."
know the score," Output: i

The expression ""know the score"" is being used figuratively in the sentence. It means to be aware of the situation or have information about something, rather than referring to a literal score or number."
know the score," Output: i

The expression ""know the score"" is being used figuratively in the sentence. It means to be aware of the situation, to have knowledge or understanding of what's going on. It's not being used in a literal sense, where someone is actually keeping track of a score or number."
oil and water," i

The expression ""oil and water"" is being used figuratively in the sentence you provided. The speaker is using the metaphor of oil and water not mixing to describe the supposed incompatibility between Christian faith and a historical Jesus. Therefore, the output would be ""i""."
oil and water," Output: i

The expression ""oil and water"" is being used figuratively in the sentence. It is a common idiom that means ""two things that do not mix well"" or ""two people who do not get along."" The sentence is using this expression to convey that the two things being compared are incompatible or do not work well together, rather than referring to the literal properties of oil and water."
oil and water," Output: i

The expression ""oil and water"" is being used figuratively in the sentence ""OIL and water don't mix."" The sentence is using the metaphor of oil and water not mixing to convey that two things are incompatible or cannot coexist together. It is not meant to be taken literally, as oil and water can actually mix, albeit not harmoniously. Therefore, the answer is ""i"" for figurative."
add fuel to the fire," Output: i

The expression ""add fuel to the fire"" is being used figuratively in the sentence you provided. It means to make a situation worse or more intense, rather than literally adding fuel to a fire."
add fuel to the fire," i

The expression ""add fuel to the fire"" is being used figuratively in the sentence. It means to make a situation worse or more intense, like pouring gasoline on a fire. The speaker is suggesting that Keith Wright's statement will escalate the situation and make it more difficult to resolve the issue of the golf boom."
add fuel to the fire," i

The expression ""add fuel to the fire"" is being used figuratively in the sentence you provided. It means to make a situation worse or more intense, rather than literally adding fuel to a fire."
power behind the throne," Output: i

The expression ""power behind the throne"" is being used figuratively in the sentence you provided. It is not referring to a physical throne or a specific individual with actual power, but rather to the idea that a group of wealthy individuals holds significant influence and control over the government or ruling power. Therefore, the use of ""power behind the throne"" is metaphorical and not meant to be taken literally."
power behind the throne," Output: i

The expression ""power behind the throne"" is being used figuratively in the sentence. It suggests that the Merkuts have a significant influence on the ruling authority, but it does not mean that they are literally sitting behind the throne. The phrase is used to convey that they have a hidden but powerful role in the decision-making process."
power behind the throne," Output: i

The expression ""power behind the throne"" is being used figuratively in the sentence you provided. It refers to the person or group that holds real authority or influence, rather than the nominal leader or figurehead. In this context, the phrase is used to describe the sinister oriental who is using the organization as a front for his Triad drugs network, suggesting that he is the true source of power and control, rather than the figurehead leader, Grant."
blood and guts," Output: i

The expression ""blood and guts"" is being used figuratively in the sentence to describe the comedic elements in the movie Day of the Dead. It is not meant to be taken literally, as it is a metaphorical expression used to convey the idea that the movie has some gruesome and intense moments. Therefore, the answer is ""i"" for figurative."
blood and guts," output: i

The expression ""blood and guts"" is being used figuratively in the sentence you provided. It is not meant to be taken literally, but rather as a metaphor for the violence and intensity of the video content being described."
blood and guts," output: i

The expression ""blood and guts"" is being used figuratively in the sentence to describe a intense and physically demanding period of play in the rugby match. It is not meant to be taken literally, and therefore, the answer is ""i""."
strike while the iron is hot," Output: i

The expression ""strike while the iron is hot"" is being used figuratively in the sentence. It means to take advantage of an opportunity or situation while it is still favorable or relevant, not literally referring to striking a piece of hot iron."
strike while the iron is hot," Output: i

The expression ""strike while the iron is hot"" is being used figuratively in this sentence. It means to take advantage of an opportunity while it is still available, not literally striking a hot iron."
on the hop," Output: i

The expression ""on the hop"" is being used figuratively in the sentence. It means that the oilmen were caught off guard or unexpectedly affected by the tax changes announced by the Chancellor. The phrase is not being used to describe a physical situation where someone is jumping or hopping, but rather to convey the idea of being caught unawares."
on the hop," i

The expression ""on the hop"" is being used figuratively in the sentence. It is not meant to be taken literally, as it is a common idiomatic expression that means ""unprepared"" or ""caught off guard."" Therefore, the answer is ""i""."
on the hop," Output: i

The expression ""on the hop"" is being used figuratively in the sentence. It means to keep someone in a state of confusion or disarray, not literally jumping or hopping."
all over the map," Output: i

The expression ""all over the map"" is being used figuratively in the sentence to describe the patients' bladder pressure and flow measurements, which are scattered and diverse, rather than being a single group with a single kind of bladder pressure and flow. Therefore, the letter ""i"" is appropriate."
all over the map," Output: i

The expression ""all over the map"" is being used figuratively in the sentence you provided. It means that the student is not going to explore different subjects or fields randomly or without direction, but will instead follow a structured path of study. The phrase ""all over the map"" is often used to describe something that is disorganized, chaotic, or lacks a clear direction or focus. In this case, it is being used to contrast with the idea of a structured course of study."
all over the map," Output: i

The expression ""all over the map"" is being used figuratively in the sentence to describe the wide range of opinions or views on a particular topic, in this case, the value of the yuan relative to the dollar. It is not being used literally to describe a physical map or geographical location."
let the cat out of the bag," Output: i

The expression ""let the cat out of the bag"" is being used figuratively in the sentence. It means to reveal a secret or surprise prematurely, and it does not have a literal meaning of letting a cat out of a bag."
let the cat out of the bag," i

The expression ""let the cat out of the bag"" is being used figuratively in the sentence. It means to reveal a secret or surprise prematurely, and is not meant to be taken literally. Therefore, the output would be ""i""."
let the cat out of the bag," Output: i

The expression ""let the cat out of the bag"" is being used figuratively in the sentence. It means to reveal a secret or surprise prematurely, and is not meant to be taken literally as letting a cat out of a bag."
blaze a trail," Output: i

The expression ""blaze a trail"" is being used figuratively in the sentence. It means to create a new path or way of doing something, especially in a pioneering or innovative manner. It is not meant to be taken literally, as it is not referring to physically blazing a trail through a forest or other terrain."
blaze a trail," Output: i

The expression ""blaze a trail"" is being used figuratively in the sentence. It means to pioneer a new path or approach, to be a trailblazer, and not literally to set a trail on fire."
blaze a trail," i

The expression ""blaze a trail"" is being used figuratively in the sentence you provided. It means to be a pioneer or to set a new trend, which is not related to fire or burning. Therefore, the output would be ""i""."
on the bounce," output: i

The expression ""on the bounce"" is being used figuratively in the sentence you provided. It suggests that the sound system is playing the song in a lively and energetic manner, rather than actually bouncing a physical object."
on the bounce," Output: i

The expression ""on the bounce"" is being used figuratively in the sentence you provided. It suggests that the person is making progress or having a streak of success, but it does not refer to a literal bouncing motion."
on the bounce," Output: i

The expression ""on the bounce"" is being used figuratively in the sentence. It is a common idiom that means to have a series of successes or positive events in a row, without any negative setbacks. In this context, the speaker is expressing their satisfaction with having four consecutive victories, but also expressing a bit of caution that their luck may not last and that Christmas (a time of celebration and joy) may have come too early for them."
at a canter," Output: i

The expression ""at a canter"" is being used figuratively in the sentence. It means to leave quickly or hastily, but it does not refer to the actual act of riding a horse at a canter."
at a canter," Output: i

The expression ""at a canter"" is being used figuratively in the sentence. It is a metaphorical expression that means to progress quickly and easily, without any obstacles or difficulties. The sentence is using this expression to convey that the students are making good progress in their studies, tackling the various aspects of equine science, horsemastership, stud operation, and showing horses with ease."
at a canter," Output: i

The expression ""at a canter"" is being used figuratively in the sentence. It is not meant to be taken literally, as it is a common idiomatic expression that means to leave quickly or abruptly."
out to lunch," Output: i

The expression ""out to lunch"" is being used figuratively in the sentence ""Round the bend, out to lunch."" It is a common idiomatic phrase used to describe someone who is not present or accounted for, often without any suggestion of actual lunch-taking."
out to lunch," Output: i

The expression ""out to lunch"" is being used figuratively in the sentence ""Was God out to lunch when this happened?"" The phrase is being used to suggest that God was not paying attention or was not present when the event occurred, rather than literally meaning that God was on a lunch break."
out to lunch," Output: i

The expression ""out to lunch"" is being used figuratively in the sentence you provided. It is not meant to be taken literally, and instead, it is used to convey the idea that Morrissey is not taking a conventional or expected approach to his music."
twist someone's arm," Output: i

The expression ""twist someone's arm"" is being used figuratively in the sentence you provided. It means to persuade or coerce someone to do something they might not want to do, rather than physically twisting their arm."
twist someone's arm," Output: i

The expression ""twist my arm"" is being used figuratively in this sentence. It is a common idiom that means to persuade or coerce someone to do something they might not want to do. It does not mean to physically twist someone's arm, so the answer is ""i""."
twist someone's arm," output: i

The expression ""twist someone's arm"" is being used figuratively in the sentence you provided. It means to persuade or coerce someone into doing something they might not want to do, but it does not imply any physical violence or arm-twisting. Therefore, the answer is ""i"" for figurative."
swings and roundabouts," Output: i

The expression ""swings and roundabouts"" is being used figuratively in the sentence. It is a common idiom that means that the advantages and disadvantages of a situation are balanced, like the swings and roundabouts at a playground. The sentence is not referring to actual swings and roundabouts, but rather using the phrase to describe a situation where there are ups and downs, but overall it evens out."
swings and roundabouts," Output: i

The expression ""swings and roundabouts"" is being used figuratively in the sentence. It is a common idiomatic expression used to describe a situation where there are fluctuations or variations in a particular context, such as gains and losses, profits and losses, or advantages and disadvantages. In this case, the expression is used to refer to the surplus arising from other matters, suggesting that it is not a fixed or certain amount, but rather a variable or fluctuating one. Therefore, the use of the expression ""swings and roundabouts"" is figurative, and the answer is ""i""."
swings and roundabouts," i

The expression ""swings and roundabouts"" is being used figuratively in the sentence to convey the idea that the advantages of a small company over a large one are situational and can vary depending on the context. It is not meant to be taken literally, as there is no direct correlation between the size of a company and the presence of swings and roundabouts. Therefore, the output would be ""i""."
on the ball," Output: i

The expression ""on the ball"" is being used figuratively in the sentence. It is not referring to a physical ball that the apes are unable to keep their eye on, but rather it is a metaphorical expression meaning to be aware of a situation or to be on top of things."
on the ball," Output: i

The expression ""on the ball"" is being used figuratively in the sentence you provided. It means that the pirates are quick to respond and adapt to new situations, like a ball that is being tossed around and caught. The phrase is not being used literally to refer to a physical ball."
rob Peter to pay Paul," i

The expression ""rob Peter to pay Paul"" is being used figuratively in the sentence you provided. The speaker is using this phrase to convey that the action being taken (closing the old folks home) is being done to benefit someone else, rather than the people who are directly affected by the closure. The phrase is not being used to describe a literal act of taking something from one person (Peter) and giving it to another (Paul). Therefore, the output would be ""i""."
rob Peter to pay Paul," Output: i

The expression ""rob Peter to pay Paul"" is being used figuratively in the sentence. It means to take something away from one person and give it to another, not necessarily involving physical robbery or payment."
rob Peter to pay Paul," Output: i

The expression ""rob Peter to pay Paul"" is being used figuratively in the sentence. It is a common idiom that means to take something away from one person or group and give it to another, often in an unfair or unjust manner. In this context, the speaker is using it to describe the government's policies, suggesting that they are taking resources away from one group and giving them to another in a way that is not equitable or sustainable."
ring a bell," Output: i

The expression ""ring a bell"" is being used figuratively in the sentence. It is a common idiom that means to remind someone of something or to trigger a memory. In this context, the speaker is hoping that their experience on the pilot courses will be familiar or resonate with the audience, rather than literally causing a bell to ring."
ring a bell," Output: i

The expression ""ring a bell"" is being used figuratively in the sentence. It is a common idiom that means to remind someone of something or to trigger a memory. In this context, the speaker is saying that the name mentioned does not remind them of anything, so it does not ""ring a bell."" Therefore, the answer is ""i"" for figurative."
ring a bell," i

The expression ""ring a bell"" is being used figuratively in the sentence you provided. It is not referring to the physical act of ringing a bell, but rather as a metaphor for something that triggers a memory or a reaction. Therefore, the output would be ""i""."
to die for," output: i

The expression ""to die for"" is being used figuratively in the sentence ""CONDEMNED TO DIE FOR A DRINK."" It suggests that the person is willing to give up their life for a drink, but it is not meant to be taken literally."
to die for," Output: i

The expression ""to die for"" is being used figuratively in the sentence ""Now that's a man to die for!"" It is an idiomatic expression meaning ""to be extremely attractive or desirable."" The speaker is not suggesting that the man in question is actually worth dying for, but rather that they find them very attractive or appealing. Therefore, the use of ""to die for"" in this sentence is figurative."
to die for," Output: i

The expression ""to die for"" is being used figuratively in the sentence you provided. It is an idiomatic expression that means ""extremely attractive or desirable."" The sentence suggests that Anjelica Huston's body is so attractive that it is worth dying for, but it does not mean that anyone is actually going to die for it. Therefore, the use of ""to die for"" in this context is figurative."
everything but the kitchen sink," Output: i

The expression ""everything but the kitchen sink"" is being used figuratively in the sentence. It is a common idiom that means ""almost everything"" or ""everything imaginable,"" and is not meant to be taken literally."
spend a penny," Output: i

The expression ""spend a penny"" is being used figuratively in the sentence. It is a common idiomatic expression that means to urinate, and it is not being used literally to refer to spending a penny coin."
spend a penny," output: i

The expression ""spend a penny"" is being used figuratively in the sentence. It is a common idiomatic expression that means to urinate, but in this context, it is being used to imply that Norris was away from his seat and not paying attention to his duties, resulting in a loss for the Tories. Therefore, the use of the phrase is not literal, but rather figurative."
spend a penny," Output: i

The expression ""spend a penny"" is being used figuratively in the sentence. It is a common idiom that means to urinate, but in this context, it is being used to imply that Norris was away from his seat, possibly using the restroom, and therefore unable to vote. The phrase ""cost the ratepayers £250,000"" suggests that his absence had significant consequences, but it is not meant to be taken literally."
in black and white," Output: i

The expression ""in black and white"" is being used figuratively in the sentence. It is not referring to the physical appearance of the words, but rather to the fact that they are written down in a clear and explicit manner, leaving no room for misinterpretation."
in black and white," Output: i

The expression ""in black and white"" is being used figuratively in the sentence to mean ""clearly and explicitly stated."" It does not refer to any physical document or object that is printed in black and white, but rather implies that the information is clearly and unambiguously stated. Therefore, the answer is ""i"" for figurative."
in black and white," Output: i

The expression ""in black and white"" is being used figuratively in the sentence to refer to the way children think in terms of clear distinctions between right and wrong, good and bad. It does not refer to a physical representation of something in black and white colors. Therefore, the answer is ""i"" for figurative."
doom and gloom," Output: i

The expression ""doom and gloom"" is being used figuratively in the sentence to describe a negative and pessimistic outlook or atmosphere. It is not referring to actual, physical doom or gloom, but rather the feeling of impending danger or negative consequences. Therefore, the answer is ""i"" for figurative."
doom and gloom," Output: i

The expression ""doom and gloom"" is being used figuratively in the sentence to describe the speaker's expectations of a negative atmosphere during their recent rounds of the publishing houses, due to the depressed economy and poor trade figures. It does not refer to an actual, physical state of doom or gloom, but rather a metaphorical one, suggesting a sense of hopelessness or despair. Therefore, the correct answer is ""i"" for figurative."
doom and gloom," Output: i

The expression ""doom and gloom"" is being used figuratively in the sentence to describe the negative news about company collapses. It is not referring to a literal prediction of the end of the world or a catastrophic event, but rather a metaphorical sense of impending danger or difficulty."
keep tabs on," Output: i

The expression ""keep tabs on"" is being used figuratively in the sentence. It means to keep track of someone's activities or whereabouts, usually in a way that is not open or public. The sentence suggests that the speaker has decided to stop paying attention to the person's activities or monitoring them in some way."
keep tabs on," Output: i

The expression ""keep tabs on"" is being used figuratively in the sentence you provided. It means to keep track of someone's activities, movements, or behavior, especially in a discreet or secretive manner. The speaker is suggesting that Sun is not a threatening figure, but rather an auxiliary comrade who helps to monitor and keep track of the group's movements, ensuring they don't get lost in the crowd. Therefore, the expression ""keep tabs on"" is being used figuratively."
keep tabs on," Output: i

The expression ""keep tabs on"" is being used figuratively in the sentence. It means to monitor or keep track of something or someone, not necessarily using physical tabs or markers. The phrase is often used to describe a situation where someone is watching or observing something closely, usually to ensure safety or to gather information. In this case, the psychologist is keeping tabs on the teams of youngsters to monitor their well-being and ensure they are not experiencing excessive stress."
get the picture," Output: i

The expression ""get the picture"" is being used figuratively in the sentence. It means to understand the overall situation or context, rather than literally referring to watching a picture or image."
get the picture," Output: i

The expression ""get the picture"" is being used figuratively in the sentence. It means to understand the situation or the message that is being conveyed, rather than actually seeing a physical picture."
get the picture," Output: i

The expression ""get the picture"" is being used figuratively in the sentence you provided. It means to understand the true nature or essence of something, rather than just having a superficial knowledge of it. In this context, the employers want the teachers to have a clear and accurate understanding of what engineering is really like, beyond any misrepresentations or stereotypes that might be present in the media."
look the other way," i

The expression ""look the other way"" is being used figuratively in the sentence you provided. It means to intentionally ignore or dismiss something, rather than literally looking away."
look the other way," Output: i

The expression ""look the other way"" is being used figuratively in the sentence you provided. It means to intentionally ignore or disregard something, rather than physically looking in a different direction."
look the other way," i

The expression ""look the other way"" is being used figuratively in the sentence you provided. It means to intentionally ignore or disregard something, usually because it is inconvenient or unpleasant. The sentence suggests that the criminal law may turn a blind eye to certain actions, but it does not condone or encourage them. Therefore, the output would be ""i""."
burst someone's bubble," output: i

The expression ""burst someone's bubble"" is being used figuratively in the sentence. It means to spoil or ruin someone's plans or hopes."
burst someone's bubble," Output: i

The expression ""burst their bubble"" is being used figuratively in the sentence. It means to spoil or ruin someone's plans or hopes, rather than physically bursting a bubble."
burst someone's bubble," Output: i

The expression ""burst someone's bubble"" is being used figuratively in the sentence you provided. It means to spoil or ruin someone's happy mood or situation. In this context, the speaker's bubble of well-being is not a physical object that can be burst, but rather a metaphorical representation of their positive emotions. Therefore, the answer is ""i"" for figurative."
fall in line," Output: i

The expression ""fall in line"" is being used figuratively in the sentence you provided. It means to conform to a particular view or opinion, or to follow a particular course of action. In this context, it suggests that people who don't agree with the dominant view will be met with opposition and possibly even punished, rather than being physically hit on the head. Therefore, the use of ""fall in line"" is figurative rather than literal."
fall in line," Output: i

The expression ""fall in line"" is being used figuratively in the sentence you provided. It means to conform to a particular standard or alignment, rather than a literal interpretation of the concrete falling into a line."
fall in line," i

The expression ""fall in line"" is being used figuratively in the sentence you provided. It means to conform to a particular standard or expectation, rather than a literal falling in line, as in a physical queue."
water under the bridge," Output: i

The expression ""water under the bridge"" is being used figuratively in the sentence. It is a common idiom that means ""a past event that cannot be changed or undone, and it's best to move on from it."" In this context, the speaker is suggesting that the issue they're addressing is no longer relevant or worth discussing, and they're apologizing for any perceived unfairness. Therefore, the use of ""water under the bridge"" is figurative."
water under the bridge," Output: i

The expression ""water under the bridge"" is being used figuratively in the sentence. It is a common idiom that means ""a past event that cannot be changed or undone, and it is pointless to dwell on it."" It is not meant to be taken literally, as it does not refer to actual water flowing under a bridge. Therefore, the answer is ""i"" for figurative."
water under the bridge," Output: i

The expression ""water under the bridge"" is being used figuratively in the sentence. It is a common idiom that means to put past disagreements or issues behind oneself and move forward. In this context, the author is suggesting that Linfield should focus on improving their performance and bridging the gap between themselves and their Danish visitors, rather than dwelling on past mistakes or disappointments."
keep a lid on," Output: i

The expression ""keep a lid on"" is being used figuratively in the sentence you provided. It means to keep a situation under control, preventing it from getting out of hand or becoming more intense. It is not being used literally to refer to physically keeping a lid on something."
keep a lid on," Output: i

The expression ""keep a lid on"" is being used figuratively in the sentence you provided. It means to keep a situation under control or prevent it from getting out of hand, rather than literally keeping a lid on something."
keep a lid on," Output: i

The expression ""keep a lid on"" is being used figuratively in the sentence. It means to keep a situation under control, preventing it from getting out of hand or becoming more intense. The government is not literally keeping a lid on something, but rather using various measures to maintain order and stability in a potentially volatile situation."
down the drain," Output: i

The expression ""down the drain"" is being used figuratively in the sentence to indicate that family life is being negatively affected or wasted. It does not refer to a literal drain or physical location, but rather metaphorically describes the decline or deterioration of family life."
down the drain," i

The expression ""down the drain"" is being used figuratively in the sentence ""How much money is IBM pouring down the drain with OS/2?"" The phrase is used to describe the idea that IBM is wasting resources or money on a product that is not successful or profitable, rather than a literal drain where water or other liquids flow."
down the drain," i

The expression ""down the drain"" is being used figuratively in the sentence you provided. It means that all the hard work will be wasted or lost, like water going down the drain."
make the cut," Output: i

The expression ""make the cut"" is being used figuratively in the sentence. It means to succeed or advance to the next stage of a competition, process, or activity, especially by meeting a certain standard or requirement. In this context, Grady and Roger Davis made the cut by scoring well enough to advance to the next round of the golf tournament."
make the cut," Output: i

The expression ""make the cut"" is being used figuratively in the sentence. It means to reduce or eliminate something, usually in a budget or financial context. In this case, the speaker is suggesting that the increased income and savings will allow the county to avoid making painful cuts in order to fund new growth, particularly in special educational needs provision for children."
make the cut," output: i

The expression ""make the cut"" is being used figuratively in the sentence. It means to reduce or shorten something, in this case, the last paragraph, without affecting the overall piece. It is not a literal cutting or physical removal of something."
free and easy," Output: i

The expression ""free and easy"" is being used figuratively in the sentence to describe a carefree and relaxed attitude or lifestyle, rather than referring to a literal state of being free from constraints or rules."
free and easy," output: i

The expression ""free and easy"" is being used figuratively in the sentence you provided. It suggests that Alamena is being too relaxed or casual in her interactions with others, rather than being literal about her physical movements or actions."
